"dataset_name","groupKeys","id","model_name","name","noise_std","test_best_historical_mse","test_best_historical_mse_Target_Bitcoin","test_best_historical_mse_Target_Ethereum"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std1.0_vsparsity_benchmarking","gn8ocqw8","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std1.0_vsparsity_benchmarking_seed1356038","1","0.28726976057176434","0.28726976057176434","undefined"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std1.0_vsparsity_benchmarking","dp7s5r8j","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std1.0_vsparsity_benchmarking_seed1356039","1","0.38459158469595006","undefined","0.38459158469595006"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std0.5_vsparsity_benchmarking","rgjd6uld","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std0.5_vsparsity_benchmarking_seed1356038","0.5","0.2587620069931905","0.2587620069931905","undefined"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std0.5_vsparsity_benchmarking","iq6d5nxj","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std0.5_vsparsity_benchmarking_seed1356039","0.5","0.34411427694081886","undefined","0.34411427694081886"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std0_vsparsity_benchmarking","boambl12","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std0_vsparsity_benchmarking_seed1356038","0","0.21438486162720197","0.21438486162720197","undefined"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std0_vsparsity_benchmarking","n6610ggp","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std0_vsparsity_benchmarking_seed1356039","0","0.3122276800671228","undefined","0.3122276800671228"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std1.0_vsparsity_benchmarking","e1n28sss","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std1.0_vsparsity_benchmarking_seed1356037","1","0.3214498377192472","0.3214498377192472","undefined"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std1.0_vsparsity_benchmarking","qmawbrjr","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std1.0_vsparsity_benchmarking_seed1356038","1","0.4291979985616689","undefined","0.4291979985616689"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std0.5_vsparsity_benchmarking","ehhzmv7c","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std0.5_vsparsity_benchmarking_seed1356037","0.5","0.2791513937142498","0.2791513937142498","undefined"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std0.5_vsparsity_benchmarking","wqxjdg9f","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std0.5_vsparsity_benchmarking_seed1356038","0.5","0.3797694054539024","undefined","0.3797694054539024"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std0_vsparsity_benchmarking","6g02vtt1","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std0_vsparsity_benchmarking_seed1356038","0","0.30800058219143595","undefined","0.30800058219143595"
"etth2","group-inrplay_deeptime_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking","lt5r6n2y","inrplay_deeptime","inrplay_deeptime_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1356036","1","0.16453252164557997","undefined","undefined"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std1.0_vsparsity_benchmarking","w1sl6roc","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std1.0_vsparsity_benchmarking_seed1356037","1","0.3907689849881773","undefined","0.3907689849881773"
"etth2","group-inrplay_deeptime_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking","zt7tpx2q","inrplay_deeptime","inrplay_deeptime_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1356036","0.5","0.14756054449613626","undefined","undefined"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_laplace_std0_vsparsity_benchmarking","wi65t7ew","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_laplace_std0_vsparsity_benchmarking_seed1356037","0","0.20821600316081296","0.20821600316081296","undefined"
"etth2","group-inrplay_deeptime_etth2_in288_out96_noise_laplace_std0_vsparsity_benchmarking","avat06fh","inrplay_deeptime","inrplay_deeptime_etth2_in288_out96_noise_laplace_std0_vsparsity_benchmarking_seed1356036","0","0.1315145629888086","undefined","undefined"
